AID,sex,intoxication,intercourse_dummy,intox_most_recent_sex
90570222,1,occasionally,0,never
90570280,1,frequently,0,never
90570282,1,never,1,never
90570354,1,occasionally,1,sober
90570373,1,never,0,never
90570388,1,never,1,sober
90570398,2,occasionally,1,sober
90570412,1,frequently,1,sober
90570531,1,never,1,never
90570536,2,never,1,sober
90570582,1,never,0,never
90570626,1,never,0,never
90570628,2,never,1,never
90570655,2,never,1,never
90570697,2,never,1,never
90570720,2,occasionally,1,sober
90570725,2,never,1,sober
90570778,2,never,0,never
90570820,1,occasionally,0,never
90570892,2,never,1,sober
90570992,2,never,1,sober
90571004,1,never,0,never
90571006,2,never,0,never
90571069,2,occasionally,1,sober
90571074,1,never,1,never
90571103,1,never,0,never
90571107,2,occasionally,1,sober
90571171,2,never,1,never
90571203,1,occasionally,1,sober
90571208,1,frequently,1,intoxicated
90571210,1,never,0,never
90571211,1,never,0,never
90571214,2,occasionally,1,sober
90571217,2,never,0,never
90571276,2,occasionally,1,sober
90571315,1,occasionally,0,never
90571319,1,occasionally,1,sober
90571401,2,never,0,never
90571402,2,never,1,sober
90571408,1,never,0,never
90571418,2,never,0,never
90571461,1,never,0,never
90571462,1,frequently,1,sober
90571471,2,never,1,sober
90571472,2,occasionally,1,sober
90571506,2,never,1,sober
90571805,2,frequently,0,never
90571807,1,never,0,never
90571816,2,never,0,never
90571861,2,never,1,never
90571907,1,occasionally,0,never
90571913,2,never,1,never
90571914,2,never,0,never
90571971,2,never,0,never
90571979,2,occasionally,1,sober
90572007,2,never,0,never
90572049,1,never,0,never
90572060,2,never,0,never
90572070,1,never,0,never
90572141,1,never,0,never
90572147,1,frequently,1,sober
90572169,1,never,0,never
90572172,1,frequently,1,sober
90572177,2,occasionally,0,never
90572192,2,occasionally,1,sober
90572198,2,occasionally,1,intoxicated
90572209,1,never,0,never
90572213,2,occasionally,0,never
90572221,2,frequently,1,sober
90572223,2,never,0,never
90572228,2,occasionally,1,sober
90572265,2,never,0,never
90572268,2,never,0,never
90572269,2,never,0,never
90572280,2,occasionally,1,sober
90572282,2,never,1,never
90572283,2,never,0,never
